,spectrum_id,mz,intensity,formula,formula_massdiff,formula_massdiff_ppm,n_averaged,rel_intensity,min_intensity,max_intensity,cluster
91,DiAcids_AvSpec_8,109.06571044921876,100548.00693359374,C7 H9 O,0.000494135770154,4.414407562982887,10.0,0.009420629809384,0.0070536823793711,0.0189028501257527,6.0
92,DiAcids_AvSpec_8,111.08142911470853,5976145.766826923,C7 H11 O,0.00044618312657,4.979185878728219,13.0,0.5599221573171167,0.6118611389211122,1.0,14.0
93,DiAcids_AvSpec_8,129.09195650540866,342070.58082932694,C7 H13 O2,0.0004100635496797,6.296193105799999,13.0,0.0320495692450908,0.0311616177618282,0.0690160412775726,9.0
94,DiAcids_AvSpec_8,154.94722154405383,31636.95393880208,,-1.0,-1.0,9.0,0.0029641565302316,0.0026352410775644,0.0590865357213328,1.0
95,DiAcids_AvSpec_8,155.0713348388672,35874.478190104164,C8 H11 O3,0.0004240728928266,7.313423984848958,6.0,0.0033611822744233,0.0019638569173273,0.0058244199152019,3.0
96,DiAcids_AvSpec_8,172.83043025090143,303335.48317307694,,-1.0,-1.0,13.0,0.0284203673665207,0.0097065024220481,1.0,2.0
97,DiAcids_AvSpec_8,172.84182357788086,23430.186279296875,,-1.0,-1.0,4.0,0.0021952410399138,0.001261859944734,0.0823726667602135,4.0
98,DiAcids_AvSpec_8,172.84246520996095,25761.593359375,,-1.0,-1.0,5.0,0.0024136772248389,0.0026591718306962,0.0864268095770568,13.0
99,DiAcids_AvSpec_8,173.0817108154297,3344845.967548077,C8 H13 O4,0.0003116593706238,11.107106788426982,13.0,0.3133881674103446,0.3140622280692286,0.6057321406110481,20.0
100,DiAcids_AvSpec_9,57.03427200317383,183496.18203125,C3 H5 O,0.0003420857350846,3.3345080497052284,5.0,0.009560071329878,0.015836642928616,0.0178359749616616,6.0
101,DiAcids_AvSpec_9,59.248802185058594,16402.395263671875,,-1.0,-1.0,2.0,0.0008545576641744,0.0005039647440588,0.0016350738628095,0.0
102,DiAcids_AvSpec_9,67.17792892456055,11831.404052734377,,-1.0,-1.0,2.0,0.0006164110087995,0.0006229564862283,0.0006467412271158,10.0
103,DiAcids_AvSpec_9,69.0345458984375,27776.500325520832,C4 H5 O,0.0005137471120377,2.6874916436612803,3.0,0.0014471435943072,0.0009008857805187,0.0019881897831612,14.0
104,DiAcids_AvSpec_9,83.05013275146484,42706.3876953125,C5 H7 O,0.0005192002301583,3.1991591768006136,2.0,0.0022249842372147,0.0021747875201789,0.0023599733907737,7.0
105,DiAcids_AvSpec_9,89.49327087402344,23830.1083984375,,-1.0,-1.0,2.0,0.0012415382901481,0.000965303604606,0.0022309067146086,3.0
106,DiAcids_AvSpec_9,95.0501480102539,32165.21240234375,C6 H7 O,0.0005726059918771,3.3199185408302947,2.0,0.0016757935860197,0.0009181458600313,0.0020262070007158,1.0
107,DiAcids_AvSpec_9,97.06574096679688,740033.72890625,C6 H9 O,0.0003796948521994,5.112827790117157,5.0,0.0385554356311051,0.0476122221014778,0.0729503328514439,13.0
108,DiAcids_AvSpec_9,111.08145523071288,3324.6181640625,C7 H11 O,0.0004614419156325,4.814536679605166,2.0,0.0001732111613506,0.0034047537618505,0.0049256320681061,8.0
