,compound_id,compound_name,compound_name_iupac,compound_sf,compound_mw,compound_rt,compound_mq,compound_iso_smiles,compound_can_smiles,compound_xlogp,compound_folder,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O,rt_predicted,rt_predicted_sd
24,Ruthenium_33,None,None,C19 H16,244.12483,12.004,0.0,None,None,,Ruthenium,0.1477630875995998,-0.038890207797408,0.0205304643318697,-0.1691761839348373,-0.2293773154537461,-0.1812733940495547,0.018369379812583,-0.2024463963663834,-0.2024463963663834,-0.3380823653068603,-0.2928536375343356,-0.3422759019532009,-0.3774760962684809,0.2558281568044549,0.1477630875995998,0.2220010361558309,0.108959388369584,-0.0002565231817754,0.3518087373528828,-0.155870637160234,-0.0634382593217708,0.0512539417778157,C11,8,9.4180433581684,C19 H16,0,8.134642019768133,C19 H16,0,5.544996359789321,C19 H16,0,8.720340955961442,C19,8,113.11487247717378,C19 H16,0,5.549582818077169,C19 H16,0,13.554555606584964,C19 H16,0,15.262676064365449,C19 H16,0,7.6313380321827236,C19 H16,0,7.635576662645201,C19 H16,0,5.089442175171436,C19 H16,0,6.981218478504499,C19 H16,0,3.0933904682961666,C19 H16,0,14.337914222419949,C11,4,4.709021679084199,C13,2,3.540417476207458,C19 H16,0,4.064856846208019,C19 H16,0,2.97561740060723,C15,4,11.228035065932376,C19 H16,0,6.103906029998789,C19 H16,0,5.811043063852992,C19 H16,0,4.206019246666452,,
25,Ruthenium_34,None,None,C18 H14,230.10933,11.521,0.0,None,None,,Ruthenium,0.1476131907036233,-0.0283241145926069,0.0276851453086521,-0.1511302161979983,-0.322697532964014,-0.1625329109356244,0.0256481312498522,-0.1824903457332993,-0.1824903457332993,-0.3103392906226361,-0.2677071984897452,-0.3142920712882642,-0.3474713801269331,0.2494741143594581,0.1476131907036233,0.2175890493774375,0.1110372584998344,0.0080915637402085,0.3399443343817836,-0.1385885568608955,-0.0514628329650292,0.0566447509757779,C11,7,9.4180433581684,C18 H14,0,7.66761814960689,C18 H14,0,5.226648526696523,C18 H14,0,8.219691096695135,C18,7,107.1614581362699,C18 H14,0,5.230971668480126,C18 H14,0,12.776365121703185,C18 H14,0,14.386419429190186,C18 H14,0,7.193209714595093,C18 H14,0,7.197204997950475,C18 H14,0,4.797248495863324,C18 H14,0,6.580414649110506,C18 H14,0,2.91579357037333,C18 H14,0,13.514749764300946,C12 H2,3,5.209021679084199,C15 H6,1,4.2223325247419305,C18 H14,0,3.8314863830267023,C18 H14,0,2.8047820582315444,C15 H2,3,11.353767230401298,C18 H14,0,5.7534702259027855,C18 H14,0,5.477421029255872,C18 H14,0,3.964544405883375,,
26,Ruthenium_35,None,None,C17 H12,216.09372,10.491,0.0,None,None,,Ruthenium,0.147573170980138,-0.0176480601113553,0.0349497607875832,-0.1329742284792416,-0.4159086045447111,-0.1436824023889471,0.0330368181630547,-0.1624242601270964,-0.1624242601270964,-0.2824861198492385,-0.2424506837355409,-0.2861981426445652,-0.3173565501457744,0.2432299003940841,0.147573170980138,0.2132869063207465,0.1132250232871001,0.0165495945307156,0.3281897166424699,-0.1211964625749715,-0.0393774342706763,0.0621454808322141,C11,6,9.4180433581684,C17 H12,0,7.200594279445648,C17 H12,0,4.908300693603724,C17 H12,0,7.7190412374288275,C17,6,101.208043795366,C17 H12,0,4.912360518883083,C17 H12,0,11.9981746368214,C17 H12,0,13.510162794014924,C17 H12,0,6.755081397007462,C17 H12,0,6.758833333255749,C17 H12,0,4.505054816555213,C17 H12,0,6.179610819716514,C17 H12,0,2.7381966724504943,C17 H12,0,12.691585306181944,C11,3,4.709021679084199,C14 H4,1,3.904247573276402,C17 H12,0,3.598115919845385,C17 H12,0,2.633946715855859,C14,3,10.479499394870215,C17 H12,0,5.403034421806782,C17 H12,0,5.143798994658752,C17 H12,0,3.7230695651002974,,
27,Ruthenium_36,Chalcone,"1,3-diphenylprop-2-en-1-one",C15 H12 O,208.08854,12.131,0.647,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,3.1,Ruthenium,0.1438144787013016,-0.0152861409503373,0.0353631965595013,-0.1263400577391848,-0.472883035625216,-0.1366515479339796,0.0335211187895652,-0.1546991145806089,-0.1546991145806089,-0.2703132892973201,-0.2317609637176474,-0.2738878004118987,-0.3038919464169396,0.2359276098229372,0.1438144787013016,0.207093852322032,0.1107387562548467,0.0176446634520175,0.3177400943402801,-0.1149985985265971,-0.0362105516362589,0.0615514526473646,C9 O,6,8.846890015753779,C14 H10,1,5.933852035015643,C13 H8,1,3.7264752646823207,C14 H12,1,6.433093396929468,C15 O,6,97.236577953365,C14 H12,1,4.093989531255585,C15 H10,1,10.553708540345918,C15 H12,1,12.009685888021586,C15 H12 O,0,6.504842944010794,C15 H12 O,0,6.508455891745496,C15 H12 O,0,4.33816741998596,C15 H12 O,0,5.950690372905556,C15 H12 O,0,2.6367616105993985,C15 H12 O,0,12.22143217457036,C9 O,3,4.423445007876889,C12 H4 O,1,3.722572290075074,C12 H4,1,2.4648255997785284,C10 H6,1,1.5363735390554405,C12 O,3,9.980158398441048,C13 H12,1,4.202881840995596,C13 H10,1,3.9532496544954414,C12 H6,1,2.585150402678005,8.67431799718281,0.453061953901093
28,Ruthenium_37,None,None,C16 H14 O,222.10423,12.633,0.0,None,None,,Ruthenium,0.1437745877538532,-0.026042167269054,0.0280186287153867,-0.1445760599902428,-0.3797513429024093,-0.1555820749772465,0.026052478802967,-0.1748452256217945,-0.1748452256217945,-0.2982465299537864,-0.2570975335333685,-0.3020618003128561,-0.3340868591905064,0.2420919485304864,0.1437745877538532,0.2113161090356641,0.108471068080604,0.0091066734843821,0.3294148682747106,-0.1324707029845342,-0.048375930212444,0.0559707804938227,C9 O,7,8.846890015753779,C15 H12,1,6.4008759051768855,C14 H10,1,4.04482309777512,C15 H14,1,6.933743256195776,C16 O,7,103.1899922942689,C15 H14,1,4.412600680852628,C16 H12,1,11.3318990252277,C16 H14,1,12.885942523196848,C16 H14 O,0,6.942971261598425,C16 H14 O,0,6.946827556440222,C16 H14 O,0,4.630361099294071,C16 H14 O,0,6.351494202299548,C16 H14 O,0,2.8143585085222345,C16 H14 O,0,13.04459663268936,C10 H2 O,3,4.92344500787689,C13 H6 O,1,4.040657241540602,C13 H6,1,2.6981960629598456,C11 H8,1,1.7072088814311257,C13 H2 O,3,10.854426233972127,C14 H14,1,4.553317645091599,C14 H12,1,4.286871689092561,C13 H8,1,2.826625243461082,,
29,Ruthenium_38,None,None,C13 H8 O,180.0573,9.277,0.0,None,None,,Ruthenium,0.1437544169220643,0.006085960971518,0.0499124156086168,-0.0900080786686317,0.3407146659278908,-0.0989305262164634,0.0483184808842906,-0.1145469370094929,-0.1145469370094929,-0.2145869302797507,-0.1812279204438596,-0.2176799253101933,-0.2436422657565913,0.2234591507065886,0.1437544169220643,0.1985095377943366,0.1151342666761081,0.0345807148273422,0.294250819812845,-0.0801944074117386,-0.012019759277166,0.0725728979345206,C9 O,4,8.846890015753779,C12 H6,1,4.999804294693158,C11 H4,1,3.089779598496724,C12 H8,1,5.431793678396854,C13 O,4,85.32974927155725,C12 H8,1,3.4567672320614995,C13 H6,1,8.997327570582355,C13 H8,1,10.257172617671063,C13 H8 O,0,5.628586308835533,C13 H8 O,0,5.631712562356043,C13 H8 O,0,3.753780061369737,C13 H8 O,0,5.1490827141175695,C13 H8 O,0,2.281567814753726,C13 H8 O,0,10.57510325833236,C9 O,2,4.423445007876889,C10 O,1,3.086402387144018,C10,1,1.9980846734158948,C8 H2,1,1.19470285430407,C11 O,2,9.23162272737889,C11 H8,1,3.502010232803589,C11 H6,1,3.286005585301202,C10 H2,1,2.10220072111185,,
30,Ruthenium_39,None,None,C14 H10 O,194.07302,11.25,0.0,None,None,,Ruthenium,0.14368455947303,-0.004700054786241,0.042537865627537,-0.1082740863692777,0.4338165915789602,-0.1178910601959444,0.0408198584951549,-0.1347230575887863,-0.1347230575887863,-0.2425501971423784,-0.2065945109076779,-0.2458839519326545,-0.2738672095773324,0.229593536192425,0.14368455947303,0.2027018371293252,0.1128366072317703,0.0260127401682552,0.3058956523204017,-0.0976965156842482,-0.0242151303090452,0.0669622474195819,C9 O,5,8.846890015753779,C13 H8,1,5.4668281648544,C12 H6,1,3.4081274315895227,C13 H10,1,5.932443537663161,C14 O,5,91.28316361246114,C13 H10,1,3.775378381658542,C14 H8,1,9.775518055464136,C14 H10,1,11.133429252846325,C14 H10 O,0,6.066714626423163,C14 H10 O,0,6.070084227050769,C14 H10 O,0,4.045973740677849,C14 H10 O,0,5.549886543511563,C14 H10 O,0,2.4591647126765626,C14 H10 O,0,11.39826771645136,C10 H2 O,2,4.92344500787689,C11 H2 O,1,3.404487338609546,C11 H2,1,2.231455136597212,C9 H4,1,1.365538196679755,C12 H2 O,2,10.10589056290997,C12 H10,1,3.852446036899592,C12 H8,1,3.6196276198983215,C11 H4,1,2.343675561894928,,
32,Ruthenium_41,None,None,C8 H15 N4 O P,214.09874,6.605,0.0,None,None,,Ruthenium,0.1403255493248423,-0.0233703572380079,0.0287418799024692,-0.137631832937501,-0.4364181809086176,-0.1482411488480579,0.0268465975888716,-0.1668099815147172,-0.1668099815147172,-0.2857634286050086,-0.2460976001519839,-0.2894411819582103,-0.3203119346409551,0.2350991745835813,0.1403255493248423,0.2054326146163134,0.1062945041727232,0.0105115842169993,0.3192746407165714,-0.1259627995194137,-0.0448991255358066,0.055686528710197,C H N4 O P,7,8.275663071958185,C7 H13 N4 P,1,6.134099287145089,C6 H11 N4 P,1,3.8629742380135705,C7 H15 N4 P,1,6.647758567175389,C8 H N4 O P,7,99.21801467136991,C7 H15 N4 P,1,4.230601407609108,C8 H13 N4 P,1,10.88737565285787,C8 H15 N4 P,1,12.385401123505074,C8 H15 N4 O P,0,6.692700561752537,C8 H15 N4 O P,0,6.696417850170067,C8 H15 N4 O P,0,4.463452196866509,C8 H15 N4 O P,0,6.122544255773248,C8 H15 N4 O P,0,2.712910375294195,C8 H3 O P,4,8.574382915036887,C2 H3 N4 O P,3,4.6378315359790925,C5 H7 N4 O P,1,3.858958546847578,C5 H7 N4 P,1,2.5648885665046195,C3 H9 N4 P,1,1.609623130913589,C5 H3 N4 O P,3,10.35502089022292,C6 H15 N4 P,1,4.353139271721288,C6 H13 N4 P,1,4.096297793886781,C5 H9 N4 P,1,2.688688308157037,,
33,Ruthenium_45,None,None,C17 H18 O,238.13548,11.383,0.0,None,None,,Ruthenium,0.1304252983680953,-0.0516486516391694,0.0063141958083292,-0.1787381962166137,-0.2865302850049716,-0.1905386138035396,0.0042061312606733,-0.2111921584255753,-0.2111921584255753,-0.3435004392706844,-0.2993813515158479,-0.3475910918363354,-0.3819276858212959,0.2358391029627853,0.1304252983680953,0.2028418957033864,0.0925736077313388,-0.0139628044841799,0.3294648993210671,-0.1657590872589764,-0.0755944421300967,0.0362839045382941,C8 O,9,7.990704255920288,C16 H16,1,6.93506445836499,C15 H14,1,4.408953882592813,C16 H18,1,7.506393694561936,C17 O,9,109.14340663517278,C16 H18,1,4.777032650837548,C17 H16,1,12.222004383397564,C17 H18,1,13.8882173405507,C17 H18 O,0,7.444108670275352,C17 H18 O,0,7.448243309003549,C17 H18 O,0,4.964576390573336,C17 H18 O,0,6.809939329873666,C17 H18 O,0,3.0174963693757726,C17 H18 O,0,13.986143861884822,C9 H2 O,4,4.495352127960144,C11 H2 O,2,3.404487338609546,C14 H10,1,2.9651285219808896,C12 H12,1,1.902612778764156,C13 H2 O,4,10.854426233972127,C15 H18,1,4.954151108080808,C15 H16,1,4.668473323098072,C14 H12,1,3.1028276049907064,,
34,Ruthenium_46,None,None,C18 H18,234.14048,12.036,0.0,None,None,,Ruthenium,0.12096442732539,-0.0580550201345033,-0.0010645669541702,-0.183012489598326,-0.3225485696864609,-0.1946149414379192,-0.0031372662640194,-0.2149219987966546,-0.2149219987966546,-0.3450106541496893,-0.3016317154712453,-0.3490326812547266,-0.3827932388885813,0.2246097925873016,0.12096442732539,0.1921661519069175,0.0837477428795807,-0.0210013969529825,0.3166649071788185,-0.1702511203083929,-0.0815990921036586,0.0284023650103506,C9,9,7.705671838501417,C18 H18,0,7.801947515660613,C18 H18,0,5.3182144301463135,C18 H18,0,8.363692254894843,C18,9,107.1614581362699,C18 H18,0,5.32261330925588,C18 H18,0,13.000194868279344,C18 H18,0,14.63845579354737,C18 H18,0,7.319227896773685,C18 H18,0,7.323293173687675,C18 H18,0,4.881291719805629,C18 H18,0,6.695697245470755,C18 H18,0,2.9668754962347337,C18 H18,0,13.751515306453866,C10 H2,4,4.352835919250709,C12 H2,2,3.313822815948762,C18 H18,0,3.898610374706157,C18 H18,0,2.8539191681462337,C14 H2,4,10.605231559339138,C18 H18,0,5.854265543689198,C18 H18,0,5.573380228072652,C18 H18,0,4.033999447376469,,
35,Ruthenium_47,None,None,C19 H20,248.15621,12.457,0.0,None,None,,Ruthenium,0.1208845810425032,-0.0688510323718958,-0.0084491109808766,-0.2012884991154635,-0.2294565663925993,-0.2135854777294525,-0.0106458827873154,-0.2351081225553173,-0.2351081225553173,-0.3729839297476474,-0.3270083128177816,-0.3772467167843274,-0.4130281930583521,0.2307341936659384,0.1208845810425032,0.1963484654490628,0.0814400930119347,-0.0295793665092105,0.3282997592108074,-0.1877632298524076,-0.0938044606207597,0.022781721708327,C9,10,7.705671838501417,C19 H20,0,8.268971385821855,C19 H20,0,5.636562263239112,C19 H20,0,8.864342114161149,C19,10,113.11487247717378,C19 H20,0,5.641224458852922,C19 H20,0,13.778385353161124,C19 H20,0,15.51471242872263,C19 H20,0,7.757356214361315,C19 H20,0,7.7616648383824,C19 H20,0,5.173485399113741,C19 H20,0,7.096501074864747,C19 H20,0,3.1444723941575696,C19 H20,0,14.574679764572863,C9,5,3.8528359192507087,C13 H4,2,3.63190776741429,C19 H20,0,4.131980837887474,C19 H20,0,3.0247545105219187,C14,5,10.479499394870215,C19 H20,0,6.204701347785201,C19 H20,0,5.907002262669771,C19 H20,0,4.275474288159546,,
36,Ruthenium_48,None,None,C17 H16,220.12495,11.575,0.0,None,None,,Ruthenium,0.1208444969309425,-0.0474589374907168,0.0061200961595204,-0.164936516411899,-0.4158390201250483,-0.1758444513878316,0.0041714675757305,-0.1949359386254627,-0.1949359386254627,-0.3172375532593605,-0.2764552557786146,-0.3210188238683429,-0.352758491699916,0.2182857033640175,0.1208444969309425,0.1877841225071108,0.0858555842798978,-0.0126233253396037,0.3048304456345647,-0.1529390361945388,-0.069593673291223,0.0338231525697096,C9,8,7.705671838501417,C17 H16,0,7.334923645499371,C17 H16,0,4.999866597053515,C17 H16,0,7.863042395628535,C17,8,101.208043795366,C17 H16,0,5.004002159658837,C17 H16,0,12.222004383397564,C17 H16,0,13.762199158372107,C17 H16,0,6.881099579186055,C17 H16,0,6.8849215089929485,C17 H16,0,4.589098040497518,C17 H16,0,6.294893416076762,C17 H16,0,2.7892785983118977,C17 H16,0,12.928350848334864,C9,4,3.8528359192507087,C11,2,2.995737864483234,C17 H16,0,3.66523991152484,C17 H16,0,2.6830838257705483,C13,4,9.73096372380806,C17 H16,0,5.503829739593195,C17 H16,0,5.239758193475532,C17 H16,0,3.792524606593392,,
37,Ruthenium_49,None,None,C16 H14,206.10938,10.971,0.0,None,None,,Ruthenium,0.1207645218720188,-0.0368228689281409,0.0133447354558597,-0.1468205359593071,0.4909102188653378,-0.1570339520893924,0.0115201779522635,-0.1749098657367369,-0.1749098657367369,-0.2894244174274547,-0.2512387685551687,-0.2929649308532589,-0.3226837031149614,0.2120015517697027,0.1207645218720188,0.1834420362788762,0.0880033873737318,-0.0042052741376323,0.2930359059928094,-0.135586946994664,-0.0575482645378144,0.0392839112776073,C9,7,7.705671838501417,C16 H14,0,6.867899775338128,C16 H14,0,4.6815187639607165,C16 H14,0,7.362392536362228,C16,7,95.25462945446212,C16 H14,0,4.685391010061794,C16 H14,0,11.44381389851578,C16 H14,0,12.885942523196848,C16 H14,0,6.442971261598424,C16 H14,0,6.446549844298223,C16 H14,0,4.296904361189407,C16 H14,0,5.894089586682769,C16 H14,0,2.6116817003890618,C16 H14,0,12.105186390215865,C10 H2,3,4.352835919250709,C13 H6,1,3.677652913017706,C16 H14,0,3.4318694483435235,C16 H14,0,2.512248483394863,C13 H2,3,9.85669588827698,C16 H14,0,5.153393935497192,C16 H14,0,4.906136158878412,C16 H14,0,3.551049765810314,,
38,Ruthenium_50,None,None,C16 H14,206.1094,10.499,0.0,None,None,,Ruthenium,0.1207445442043138,-0.0368428618875213,0.0133247473645496,-0.1468405395923468,0.4908903741508652,-0.1570539567135256,0.0115001896838862,-0.1749298720955039,-0.1749298720955039,-0.289444434898229,-0.2512587823205479,-0.2929849486675948,-0.3227037238130776,0.211981582955218,0.1207445442043138,0.1834220646931328,0.0879834065269733,-0.0042252639319144,0.2930159450415601,-0.1356069495377028,-0.0575682595082582,0.0392639257033522,C9,7,7.705671838501417,C16 H14,0,6.867899775338128,C16 H14,0,4.6815187639607165,C16 H14,0,7.362392536362228,C16,7,95.25462945446212,C16 H14,0,4.685391010061794,C16 H14,0,11.44381389851578,C16 H14,0,12.885942523196848,C16 H14,0,6.442971261598424,C16 H14,0,6.446549844298223,C16 H14,0,4.296904361189407,C16 H14,0,5.894089586682769,C16 H14,0,2.6116817003890618,C16 H14,0,12.105186390215865,C10 H2,3,4.352835919250709,C13 H6,1,3.677652913017706,C16 H14,0,3.4318694483435235,C16 H14,0,2.512248483394863,C13 H2,3,9.85669588827698,C16 H14,0,5.153393935497192,C16 H14,0,4.906136158878412,C16 H14,0,3.551049765810314,,
39,Ruthenium_51,None,None,C16 H14,206.1094,11.111,0.0,None,None,,Ruthenium,0.1207445442043138,-0.0368428618875213,0.0133247473645496,-0.1468405395923468,0.4908903741508652,-0.1570539567135256,0.0115001896838862,-0.1749298720955039,-0.1749298720955039,-0.289444434898229,-0.2512587823205479,-0.2929849486675948,-0.3227037238130776,0.211981582955218,0.1207445442043138,0.1834220646931328,0.0879834065269733,-0.0042252639319144,0.2930159450415601,-0.1356069495377028,-0.0575682595082582,0.0392639257033522,C9,7,7.705671838501417,C16 H14,0,6.867899775338128,C16 H14,0,4.6815187639607165,C16 H14,0,7.362392536362228,C16,7,95.25462945446212,C16 H14,0,4.685391010061794,C16 H14,0,11.44381389851578,C16 H14,0,12.885942523196848,C16 H14,0,6.442971261598424,C16 H14,0,6.446549844298223,C16 H14,0,4.296904361189407,C16 H14,0,5.894089586682769,C16 H14,0,2.6116817003890618,C16 H14,0,12.105186390215865,C10 H2,3,4.352835919250709,C13 H6,1,3.677652913017706,C16 H14,0,3.4318694483435235,C16 H14,0,2.512248483394863,C13 H2,3,9.85669588827698,C16 H14,0,5.153393935497192,C16 H14,0,4.906136158878412,C16 H14,0,3.551049765810314,,
40,Ruthenium_52,None,None,C14 H10,178.07811,9.776,0.0,None,None,,Ruthenium,0.1207344265943675,-0.0154207775672716,0.0279239366419403,-0.1104585514391658,0.3045376874901251,-0.1192829234356622,0.0263475224494698,-0.1347276786275131,-0.1347276786275131,-0.2336680322037523,-0.200675704633312,-0.2367270290301064,-0.2624039914074672,0.1995630458750099,0.1207344265943675,0.1748876791298528,0.0924288690650882,0.0127607619291154,0.2695765728921628,-0.1007527520653752,-0.0333274797230274,0.0503353349261601,C9,5,7.705671838501417,C14 H10,0,5.933852035015643,C14 H10,0,4.04482309777512,C14 H10,0,6.361092817829614,C14,5,83.34780077265437,C14 H10,0,4.048168710867708,C14 H10,0,9.887432928752215,C14 H10,0,11.133429252846325,C14 H10,0,5.566714626423162,C14 H10,0,5.56980651490877,C14 H10,0,3.712517002573184,C14 H10,0,5.092481927894783,C14 H10,0,2.256487904543389,C14 H10,0,10.458857473977863,C10 H2,2,4.352835919250709,C11 H2,1,3.0414830100866497,C14 H10,0,2.9651285219808896,C14 H10,0,2.1705777986434924,C12 H2,2,9.108160217214822,C14 H10,0,4.452522327305186,C14 H10,0,4.238892089684172,C14 H10,0,3.0681000842441595,,
41,Ruthenium_53,None,None,C15 H12,192.09384,10.321,0.0,None,None,,Ruthenium,0.1206545803114806,-0.0262167898046357,0.0205393926152055,-0.1287345609563317,0.3976296907840151,-0.1382534597271956,0.0188389059262021,-0.1549138023861758,-0.1549138023861758,-0.2616413078017388,-0.2260523019798199,-0.2649410645597072,-0.292638945577238,0.2056874469536467,0.1206545803114806,0.179069992671998,0.0901212191974423,0.0041827923729158,0.2812114249241517,-0.1182648616093331,-0.0455328482401284,0.0447146916241365,C9,6,7.705671838501417,C15 H12,0,6.4008759051768855,C15 H12,0,4.363170930867918,C15 H12,0,6.861742677095921,C15,6,89.30121511355824,C15 H12,0,4.366779860464751,C15 H12,0,10.665623413633998,C15 H12,0,12.009685888021586,C15 H12,0,6.004842944010793,C15 H12,0,6.008178179603496,C15 H12,0,4.004710681881296,C15 H12,0,5.493285757288776,C15 H12,0,2.4340848024662254,C15 H12,0,11.282021932096864,C9,3,3.8528359192507087,C12 H4,1,3.359567961552178,C15 H12,0,3.1984989851622063,C15 H12,0,2.341413141019178,C12,3,8.9824280527459,C15 H12,0,4.802958131401189,C15 H12,0,4.572514124281292,C15 H12,0,3.309574925027237,,
42,Ruthenium_57,None,None,C19 H32 O3,308.23476,13.213,0.0,None,None,,Ruthenium,0.1094191026907083,-0.1262514504025489,-0.0512262405015349,-0.2907519913188139,0.1584599084889077,-0.3060260650637474,-0.0539548501564013,-0.3327593362660082,-0.3327593362660082,0.4959851616462742,-0.4469085372451218,0.4906903550436254,0.4462461932321275,0.2458632762339903,0.1094191026907083,0.2031527726992976,0.0604251149866854,-0.0774721250655829,0.3670494382888591,-0.2739522580973244,-0.1572460967483948,-0.0124344318317071,C3 O3,16,5.99221181125756,C16 H26,3,7.270887873499297,C13 H20,3,4.001172975031694,C16 H32,3,8.010397748260912,C19 O3,16,136.92096099659406,C16 H32,3,5.097778393552685,C19 H26,3,14.114129973025369,C19 H32,3,16.270821521794186,C19 H32 O,1,8.635410760897093,C19 H32 O3,0,9.64076250202,C19 H32 O3,0,6.42598528525465,C19 H32 O3,0,8.814562710795833,C19 H32 O3,0,3.9057485961413,C19 H32 O3,0,18.103207118452115,C3 O3,8,2.99610590562878,C7 O3,4,2.9953916266034737,C10 H8,3,2.132332656774804,C4 H14,3,0.757047034374775,C11 O3,8,11.22708341876918,C13 H32,3,4.706858429927659,C13 H26,3,4.337086449762559,C10 H14,3,2.3105658455911326,,
44,Ruthenium_59,None,None,C16 H16,208.12502,11.354,0.0,None,None,,Ruthenium,0.1073752127627756,-0.0517532988170046,-0.0010950819722665,-0.1628266844669781,0.4909202051820784,-0.1731399823689798,-0.002937482676856,-0.1911907129343717,-0.1911907129343717,-0.3068251559709836,-0.2682660717834721,-0.3104002937330676,-0.3404096997646491,0.1995044922365707,0.1073752127627756,0.1706656798899075,0.0742936918117038,-0.0188167213156589,0.2813313192997952,-0.151483236983239,-0.072681377761171,0.0250977651785149,C8,8,6.849486078667926,C16 H16,0,6.93506445836499,C16 H16,0,4.727301715685612,C16 H16,0,7.434393115462083,C16,8,95.25462945446212,C16 H16,0,4.731211830449671,C16 H16,0,11.555728771803862,C16 H16,0,13.01196070537544,C16 H16,0,6.50598035268772,C16 H16,0,6.509593932166823,C16 H16,0,4.33892597316056,C16 H16,0,5.951730884862894,C16 H16,0,2.6372226633197635,C16 H16,0,12.223569161292328,C8,4,3.424743039333963,C10,2,2.7233980586211217,C16 H16,0,3.4654314441832508,C16 H16,0,2.536817038352208,C12,4,8.9824280527459,C16 H16,0,5.203791594390398,C16 H16,0,4.954115758286801,C16 H16,0,3.5857772865568616,,
45,Ruthenium_60,None,None,C14 H12,180.09378,10.114,0.0,None,None,,Ruthenium,0.1073151509835383,-0.0303811968951492,0.0134541370768488,-0.1264947053964249,0.3045179067351569,-0.1354189606514637,0.0118598794178694,-0.1510385353632557,-0.1510385353632557,-0.2510987969534142,-0.2177330285096559,-0.2541924186313622,-0.2801600191043008,0.1870360331201936,0.1073151509835383,0.1620813653622121,0.0786892022329937,-0.0018806699403342,0.2578420447723601,-0.1166790458684374,-0.0484905854020496,0.0361192104656709,C8,6,6.849486078667926,C14 H12,0,6.0010167180425045,C14 H12,0,4.090606049500015,C14 H12,0,6.433093396929468,C14,6,83.34780077265437,C14 H12,0,4.093989531255585,C14 H12,0,9.999347802040296,C14 H12,0,11.259447435024915,C14 H12,0,5.629723717512459,C14 H12,0,5.63285060277737,C14 H12,0,3.754538614544337,C14 H12,0,5.150123226074907,C14 H12,0,2.282028867474091,C14 H12,0,10.577240245054323,C8,3,3.424743039333963,C11 H4,1,3.087228155690066,C14 H12,0,2.998690517820617,C14 H12,0,2.195146353600837,C11,3,8.233892381683743,C14 H12,0,4.502919986198392,C14 H12,0,4.286871689092561,C14 H12,0,3.1028276049907064,,
46,Ruthenium_61,None,None,C15 H14,194.10945,10.489,0.0,None,None,,Ruthenium,0.1072952377038234,-0.0411172302544855,0.0061295573240158,-0.1447107040143862,0.3976694441724362,-0.1543294830705974,0.0044112276996202,-0.1711646400456743,-0.1711646400456743,-0.2790120201391062,-0.2430495845600262,-0.2823464007179836,-0.3103349111797513,0.1932203406422274,0.1072952377038234,0.1663235936616445,0.0764414949055094,-0.0103986701136875,0.2695367796580115,-0.1341311477833926,-0.0606359690077908,0.0305585238864125,C8,7,6.849486078667926,C15 H14,0,6.468040588203747,C15 H14,0,4.408953882592813,C15 H14,0,6.933743256195776,C15,7,89.30121511355824,C15 H14,0,4.412600680852628,C15 H14,0,10.77753828692208,C15 H14,0,12.13570407020018,C15 H14,0,6.067852035100089,C15 H14,0,6.071222267472096,C15 H14,0,4.046732293852449,C15 H14,0,5.5509270554689,C15 H14,0,2.459625765396927,C15 H14,0,11.400404703173326,C9 H2,3,3.924743039333964,C12 H6,1,3.4053131071555938,C15 H14,0,3.232060981001934,C15 H14,0,2.3659816959765223,C12 H2,3,9.108160217214822,C15 H14,0,4.853355790294395,C15 H14,0,4.620493723689681,C15 H14,0,3.344302445773784,,
