,spectrum_id,label,compound_id,parent_full_mw,ms1_rt,ms2_rt,ms2_max_intensity,parent_mz,parent_intensity,parent_fromms1_mz,parent_fromms1_intensity,scan_type,mzml_file,mzml_file_short,spectrum_folder,n_averaged,spectrum_ids_orig
10,Ruthenium2_AvSpec_10,1,Ruthenium2_0020,220.1251695295485,11.607131500000001,11.6190815,35499.6259765625,221.1324461295485,1322924.9982625,221.13239984724606,258081.640625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2,2.0,20161130_Kat-3_pos_01_1850-20161130_Kat-3_pos_01_1861
11,Ruthenium2_AvSpec_11,1,Ruthenium2_0021,234.140845741954,12.078645,12.08837,32188.21875,235.148122341954,1183229.994247,235.14822879031223,212322.15625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2,1.0,20161130_Kat-3_pos_01_1937
12,Ruthenium2_AvSpec_12,1,Ruthenium2_0059,208.088884212262,12.170656,12.184929,24134.490234375,209.096160812262,1381487.578873,209.09631806157228,202523.140625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML,20161130_Kat-3_pos_01,Ruthenium2,1.0,20161130_Kat-3_pos_01_1954
13,Ruthenium2_AvSpec_13,1,Ruthenium2_0387,133.110337108482,1.4046632,1.4192421,3193.248779296875,134.117613708482,319605.3260231,134.11774758220042,56788.8828125,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML,20161130_Kat-6_pos_01,Ruthenium2,1.0,20161130_Kat-6_pos_01_0227
14,Ruthenium2_AvSpec_14,1,Ruthenium2_0171,162.125586298441,7.7789537,7.7985952,7423.8271484375,163.132862898441,774006.3126297,163.13301857190515,154014.765625,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML,20161130_Kat-6_pos_01,Ruthenium2,1.0,20161130_Kat-6_pos_01_1236
15,Ruthenium2_AvSpec_15,1,Ruthenium2_0017,148.016085054438,10.1106662,10.1274016,17725.82041015625,149.02336165443802,3498313.113384,149.023429421034,723045.728125,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_03.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_03.mzML,20161130_Kat-6_pos_01-20161201_Kat-0_pos_01-20161201_Kat-0_pos_03-20161201_Kat-3_pos_02-20161201_Kat-3_pos_03,Ruthenium2,5.0,20161130_Kat-6_pos_01_1619-20161201_Kat-0_pos_01_1831-20161201_Kat-0_pos_03_1659-20161201_Kat-3_pos_02_1654-20161201_Kat-3_pos_03_1671
16,Ruthenium2_AvSpec_16,1,Ruthenium2_0017,148.01613491976698,10.241494,10.246355,2855.994873046875,149.023411519767,980047.8315926,149.02339557191112,181175.96875,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML,20161130_Kat-6_pos_01,Ruthenium2,1.0,20161130_Kat-6_pos_01_1629
17,Ruthenium2_AvSpec_17,1,Ruthenium2_0008,390.2767081946439,15.021723999999999,15.030142444444445,586745.171875,391.2839847946439,8683265.881969778,391.28364460394033,1723768.076388889,positive,BS51_20161130_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-6_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_pos_02.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_01.mzML-BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-3_C18_ESI_pos_02.mzML,20161130_Kat-6_pos_01-20161201_Kat-0_pos_02-20161201_Kat-3_pos_01-20161201_Kat-3_pos_02,Ruthenium2,9.0,20161130_Kat-6_pos_01_2531-20161201_Kat-0_pos_02_2565-20161201_Kat-0_pos_02_2575-20161201_Kat-0_pos_02_2587-20161201_Kat-3_pos_01_2662-20161201_Kat-3_pos_01_2672-20161201_Kat-3_pos_01_2684-20161201_Kat-3_pos_02_2578-20161201_Kat-3_pos_02_2588
18,Ruthenium2_AvSpec_18,1,Ruthenium2_0291,200.176951314988,8.4748941,8.4882651,155116.265625,199.169674714988,4090411.124268,199.16939345595372,876811.8125,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML,20161201_Kat-0_neg_01,Ruthenium2,1.0,20161201_Kat-0_neg_01_1735
19,Ruthenium2_AvSpec_19,1,Ruthenium2_0291,200.176949596566,8.5311381,8.5445088,707835.6875,199.169672996566,19036031.54175,199.1693834727249,4057304.0,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML,20161201_Kat-0_neg_01,Ruthenium2,1.0,20161201_Kat-0_neg_01_1747
20,Ruthenium2_AvSpec_20,1,Ruthenium2_0291,200.17695516083,8.5874984,8.596411,843466.5,199.16967856083,25752080.37805,199.16938922575932,5524695.5,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML,20161201_Kat-0_neg_01,Ruthenium2,1.0,20161201_Kat-0_neg_01_1758
21,Ruthenium2_AvSpec_21,1,Ruthenium2_0291,200.176942603258,8.6438235,8.652738,458015.3125,199.169666003258,17256346.18994,199.1693367640959,3657643.25,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML,20161201_Kat-0_neg_01,Ruthenium2,1.0,20161201_Kat-0_neg_01_1770
22,Ruthenium2_AvSpec_22,1,Ruthenium2_0291,200.176971023015,8.7000483,8.7134194,124701.3203125,199.169694423015,4253426.694885,199.16940665154476,910999.3125,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML,20161201_Kat-0_neg_01,Ruthenium2,1.0,20161201_Kat-0_neg_01_1783
23,Ruthenium2_AvSpec_23,1,Ruthenium2_0002,228.208601062891,9.5860635,9.5994344,330906.28125,227.201324462891,11718511.87532,227.20115066345983,2098606.75,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML,20161201_Kat-0_neg_01,Ruthenium2,1.0,20161201_Kat-0_neg_01_1971
24,Ruthenium2_AvSpec_24,1,Ruthenium2_0002,228.20861632168,9.6437468,9.648203,592493.5625,227.20133972168,14169933.94559,227.20118885512596,2780867.25,negative,BS51_20161201_R14o3_Extraktion-MeOH-Acetone_Toluol-Chloroform_Kat-0_C18_ESI_neg_01.mzML,20161201_Kat-0_neg_01,Ruthenium2,1.0,20161201_Kat-0_neg_01_1981
